File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's	Naive
1.#INF	37.0667	556	79.4286
1.#INF	37.1333	557	79.5714
1.#INF	37.2	558	79.7143
1.#INF	37.2667	559	79.8571
1.#INF	37.3333	560	80
1.#INF	37.4	561	80.1429
1.#INF	37.4667	562	80.2857
1.#INF	37.5333	563	80.4286
1.#INF	37.6	564	80.5714
1.#INF	37.6667	565	80.7143
1.#INF	37.7333	566	80.8571
1.#INF	37.8	567	81
1.#INF	37.8667	568	81.1429
1.#INF	37.9333	569	81.2857
1.#INF	38	570	81.4286
1.#INF	38.0667	571	81.5714
1.#INF	38.1333	572	81.7143
1.#INF	38.2	573	81.8571
1.#INF	38.2667	574	82
1.#INF	38.3333	575	82.1429
1.#INF	38.4	576	82.2857
1.#INF	38.4667	577	82.4286
1.#INF	38.5333	578	82.5714
1.#INF	38.6	579	82.7143
1.#INF	36.25	580	82.8571
1.#INF	36.3125	581	83
1.#INF	36.375	582	83.1429
1.#INF	36.4375	583	83.2857
1.#INF	36.5	584	83.4286
1.#INF	36.5625	585	83.5714
1.#INF	36.625	586	83.7143
1.#INF	36.6875	587	83.8571
1.#INF	36.75	588	84
1.#INF	36.8125	589	84.1429
1.#INF	36.875	590	84.2857
1.#INF	36.9375	591	84.4286
1.#INF	37	592	84.5714
1.#INF	37.0625	593	84.7143
1.#INF	37.125	594	84.8571
1.#INF	37.1875	595	85
1.#INF	37.25	596	85.1429
1.#INF	37.3125	597	85.2857
1.#INF	37.375	598	85.4286
1.#INF	37.4375	599	85.5714
1.#INF	37.5	600	85.7143
1.#INF	37.5625	601	85.8571
1.#INF	37.625	602	86
1.#INF	37.6875	603	86.1429
1.#INF	37.75	604	86.2857
1.#INF	37.8125	605	86.4286
1.#INF	37.875	606	86.5714
1.#INF	37.9375	607	86.7143
1.#INF	38	608	86.8571
1.#INF	38.0625	609	87
1.#INF	38.125	610	87.1429
1.#INF	38.1875	611	87.2857
1.#INF	38.25	612	87.4286
1.#INF	38.3125	613	87.5714
1.#INF	38.375	614	87.7143
1.#INF	38.4375	615	87.8571
1.#INF	38.5	616	88
1.#INF	38.5625	617	88.1429
1.#INF	38.625	618	88.2857
1.#INF	38.6875	619	88.4286
1.#INF	38.75	620	88.5714
1.#INF	38.8125	621	88.7143
1.#INF	36.5882	622	88.8571
1.#INF	36.6471	623	89
1.#INF	36.7059	624	89.1429
1.#INF	36.7647	625	89.2857
1.#INF	36.8235	626	89.4286
1.#INF	36.8824	627	89.5714
1.#INF	36.9412	628	89.7143
1.#INF	37	629	89.8571
1.#INF	37.0588	630	90
1.#INF	37.1176	631	90.1429
1.#INF	37.1765	632	90.2857
1.#INF	37.2353	633	90.4286
1.#INF	37.2941	634	90.5714
1.#INF	37.3529	635	90.7143
1.#INF	37.4118	636	90.8571
1.#INF	37.4706	637	91
1.#INF	37.5294	638	91.1429
1.#INF	37.5882	639	91.2857
1.#INF	37.6471	640	91.4286
1.#INF	37.7059	641	91.5714
1.#INF	35.6667	642	91.7143
1.#INF	35.7222	643	91.8571
1.#INF	35.7778	644	92
1.#INF	35.8333	645	92.1429
1.#INF	35.8889	646	92.2857
1.#INF	35.9444	647	92.4286
1.#INF	36	648	92.5714
1.#INF	36.0556	649	92.7143
1.#INF	36.1111	650	92.8571
1.#INF	36.1667	651	93
1.#INF	36.2222	652	93.1429
1.#INF	36.2778	653	93.2857
1.#INF	36.3333	654	93.4286
1.#INF	36.3889	655	93.5714
1.#INF	36.4444	656	93.7143
1.#INF	36.5	657	93.8571
1.#INF	36.5556	658	94
1.#INF	36.6111	659	94.1429
1.#INF	36.6667	660	94.2857
1.#INF	36.7222	661	82.625
1.#INF	36.7778	662	82.75
1.#INF	36.8333	663	82.875
1.#INF	36.8889	664	83
1.#INF	36.9444	665	83.125
1.#INF	37	666	83.25
1.#INF	37.0556	667	83.375
1.#INF	37.1111	668	83.5
1.#INF	37.1667	669	83.625
1.#INF	37.2222	670	83.75
1.#INF	37.2778	671	83.875
1.#INF	37.3333	672	84
1.#INF	37.3889	673	84.125
1.#INF	37.4444	674	84.25
1.#INF	37.5	675	84.375
1.#INF	37.5556	676	84.5
1.#INF	37.6111	677	84.625
1.#INF	35.6842	678	84.75
1.#INF	35.7368	679	75.4444
1.#INF	35.7895	680	75.5556
1.#INF	35.8421	681	75.6667
1.#INF	35.8947	682	75.7778
1.#INF	35.9474	683	75.8889
1.#INF	36	684	76
1.#INF	36.0526	685	76.1111
1.#INF	36.1053	686	76.2222
1.#INF	36.1579	687	76.3333
1.#INF	36.2105	688	76.4444
1.#INF	36.2632	689	76.5556
1.#INF	36.3158	690	76.6667
1.#INF	36.3684	691	76.7778
1.#INF	36.4211	692	76.8889
1.#INF	36.4737	693	77
1.#INF	36.5263	694	77.1111
1.#INF	36.5789	695	77.2222
1.#INF	36.6316	696	77.3333
1.#INF	36.6842	697	77.4444
1.#INF	36.7368	698	77.5556
1.#INF	36.7895	699	77.6667
1.#INF	35	700	77.7778
1.#INF	35.05	701	77.8889
1.#INF	35.1	702	78
1.#INF	35.15	703	78.1111
1.#INF	35.2	704	78.2222
1.#INF	35.25	705	78.3333
1.#INF	35.3	706	78.4444
1.#INF	35.35	707	78.5556
1.#INF	35.4	708	78.6667
1.#INF	35.45	709	78.7778
1.#INF	35.5	710	78.8889
1.#INF	35.55	711	79
1.#INF	35.6	712	79.1111
1.#INF	35.65	713	79.2222
1.#INF	35.7	714	79.3333
1.#INF	35.75	715	79.4444
1.#INF	35.8	716	79.5556
1.#INF	35.85	717	79.6667
1.#INF	35.9	718	79.7778
1.#INF	35.95	719	79.8889
1.#INF	36	720	80
1.#INF	36.05	721	80.1111
1.#INF	36.1	722	80.2222
1.#INF	36.15	723	80.3333
1.#INF	36.2	724	80.4444
1.#INF	36.25	725	80.5556
1.#INF	36.3	726	80.6667
1.#INF	36.35	727	80.7778
1.#INF	36.4	728	80.8889
1.#INF	36.45	729	81
1.#INF	36.5	730	81.1111
1.#INF	36.55	731	81.2222
1.#INF	36.6	732	81.3333
1.#INF	36.65	733	81.4444
1.#INF	36.7	734	81.5556
1.#INF	36.75	735	81.6667
1.#INF	36.8	736	81.7778
1.#INF	36.85	737	81.8889
1.#INF	36.9	738	82
1.#INF	36.95	739	82.1111
